k,score,concatenated
180,46572832,True
180,46572832,True
180,46572832,True
180,46572832,True
180,46572832,True
185,46572832,True
185,46572832,True
185,46572832,True
185,46572832,True
185,46572832,True
100,676607,True
100,623573,True
100,674501,True
100,408270,True
100,585854,True
3000,46572832,True
3000,46572832,True
3000,46572832,True
3000,46572832,True
3000,46572832,True
50,29310,True
50,35793,True
50,32300,True
50,27768,True
50,28499,True
1100,46572832,True
1100,46572832,True
1100,46572832,True
1100,46572832,True
1100,46572832,True
1500,46572832,True
1500,46572832,True
1500,46572832,True
1500,46572832,True
1500,46572832,True
1700,46572832,True
1700,46572832,True
1700,46572832,True
1700,46572832,True
1700,46572832,True
1800,46572832,True
1800,46572832,True
1800,46572832,True
1800,46572832,True
1800,46572832,True
1300,46572832,True
1300,46572832,True
1300,46572832,True
1300,46572832,True
1300,46572832,True
195,46572832,True
195,46572832,True
195,46572832,True
195,46572832,True
195,46572832,True
160,756503,True
160,776495,True
160,12026473,True
160,9793060,True
160,12444432,True
165,12444432,True
165,20423548,True
165,12444432,True
165,776495,True
165,776495,True
1900,46572832,True
1900,46572832,True
1900,46572832,True
1900,46572832,True
1900,46572832,True
1600,46572832,True
1600,46572832,True
1600,46572832,True
1600,46572832,True
1600,46572832,True
750,46572832,True
750,46572832,True
750,46572832,True
750,46572832,True
750,46572832,True
1200,46572832,True
1200,46572832,True
1200,46572832,True
1200,46572832,True
1200,46572832,True
140,7342991,True
140,6355984,True
140,11533945,True
140,6355984,True
140,10825563,True
170,25372894,True
170,12444432,True
170,12444432,True
170,46572832,True
170,46572832,True
175,12444432,True
175,25372894,True
175,25372894,True
175,46572832,True
175,46572832,True
1000,46572832,True
1000,46572832,True
1000,46572832,True
1000,46572832,True
1000,46572832,True
190,46572832,True
190,46572832,True
190,46572832,True
190,46572832,True
190,46572832,True
120,2497018,True
120,1240711,True
120,789646,True
120,276017,True
120,2249034,True
200,46572832,True
200,46572832,True
200,46572832,True
200,46572832,True
200,46572832,True
1400,46572832,True
1400,46572832,True
1400,46572832,True
1400,46572832,True
1400,46572832,True
500,46572832,True
500,46572832,True
500,46572832,True
500,46572832,True
500,46572832,True
